run_id,alpha,threads_case,role,threads,tickets,ready,effective,run_ticks,work,stride,pass,tick_share,work_share,effective_share,sample_pid,result_pid
0,0,1_2_3,0,1,100,1,100,205,35008,100000,300600000,0.3120243531202435,0.3440251572327044,0.3333333333333333,2,2
0,0,1_2_3,1,2,100,2,100,201,34870,100000,300500000,0.3059360730593607,0.3426690251572327,0.3333333333333333,3,3
0,0,1_2_3,2,3,100,3,100,251,31882,100000,300500000,0.3820395738203957,0.3133058176100629,0.3333333333333333,4,4
1,25,1_2_3,0,1,100,1,100,227,35768,100000,340400000,0.34603658536585363,0.3298961465385254,0.3333333333333333,4,4
1,25,1_2_3,1,2,100,2,100,264,33342,100000,340500000,0.4024390243902439,0.3075206138975485,0.3333333333333333,3,3
1,25,1_2_3,2,3,100,3,100,165,39312,100000,340500000,0.25152439024390244,0.36258323956392613,0.3333333333333333,2,2
2,50,1_2_3,0,1,100,1,100,218,35264,100000,345200000,0.331306990881459,0.3331286546945407,0.3333333333333333,2,2
2,50,1_2_3,1,2,100,2,100,222,35568,100000,345100000,0.3373860182370821,0.3360004534419075,0.3333333333333333,3,3
2,50,1_2_3,2,3,100,3,100,218,35025,100000,345100000,0.331306990881459,0.3308708918635518,0.3333333333333333,4,4
3,75,1_2_3,0,1,100,1,100,214,35224,100000,295300000,0.3257229832572298,0.3334248364775707,0.3333333333333333,4,4
3,75,1_2_3,1,2,100,2,100,266,32550,100000,295300000,0.4048706240487062,0.30811317361301743,0.3333333333333333,3,3
3,75,1_2_3,2,3,100,3,100,177,37869,100000,295300000,0.2694063926940639,0.35846198990941186,0.3333333333333333,2,2
4,100,1_2_3,0,1,100,1,100,103,17421,100000,161600000,0.1567732115677321,0.16720414627123525,0.16666666666666666,2,2
4,100,1_2_3,1,2,100,2,200,223,34688,50000,161600000,0.3394216133942161,0.3329302236299069,0.3333333333333333,3,3
4,100,1_2_3,2,3,100,3,300,331,52081,33333,161565069,0.5038051750380518,0.49986563009885787,0.5,4,4
5,0,1_3_5,0,1,100,1,100,215,34752,100000,305300000,0.3277439024390244,0.3376865671641791,0.3333333333333333,4,4
5,0,1_3_5,1,3,100,3,100,236,33088,100000,305300000,0.3597560975609756,0.3215174129353234,0.3333333333333333,3,3
5,0,1_3_5,2,5,100,5,100,205,35072,100000,305400000,0.3125,0.3407960199004975,0.3333333333333333,2,2
6,25,1_3_5,0,1,100,1,100,203,33920,100000,315100000,0.30851063829787234,0.339447796891731,0.3333333333333333,2,2
6,25,1_3_5,1,3,100,3,100,232,32745,100000,315000000,0.3525835866261398,0.3276892131255817,0.3333333333333333,3,3
6,25,1_3_5,2,5,100,5,100,223,33262,100000,315000000,0.33890577507598785,0.3328629899826874,0.3333333333333333,4,4
7,50,1_3_5,0,1,100,1,100,142,27776,100000,248900000,0.2161339421613394,0.26694601685711816,0.25,4,4
7,50,1_3_5,1,3,100,3,100,125,28288,100000,248900000,0.1902587519025875,0.27186668076231846,0.25,3,3
7,50,1_3_5,2,5,100,5,200,390,47987,50000,248850000,0.593607305936073,0.4611873023805634,0.5,2,2
8,75,1_3_5,0,1,100,1,100,131,30336,100000,251200000,0.1993911719939117,0.2742386027716758,0.25,2,2
8,75,1_3_5,1,3,100,3,100,199,25627,100000,251200000,0.3028919330289193,0.23166906227682404,0.25,3,3
8,75,1_3_5,2,5,100,5,200,327,54656,50000,251150000,0.4977168949771689,0.4940923349515002,0.5,4,4
9,100,1_3_5,0,1,100,1,100,68,12480,100000,109100000,0.10365853658536585,0.11243040665933947,0.1111111111111111,4,4
9,100,1_3_5,1,3,100,3,300,225,36416,33333,109065605,0.3429878048780488,0.32806616097007263,0.3333333333333333,3,3
9,100,1_3_5,2,5,100,5,500,363,62106,20000,109080000,0.5533536585365854,0.559503432370588,0.5555555555555556,2,2
10,0,1_5_7,0,1,100,1,100,217,33472,100000,325700000,0.33129770992366414,0.3313764120028908,0.3333333333333333,2,2
10,0,1_5_7,1,5,100,5,100,216,33902,100000,325700000,0.3297709923664122,0.3356334584046966,0.3333333333333333,3,3
10,0,1_5_7,2,7,100,7,100,222,33635,100000,325600000,0.33893129770992364,0.33299012959241253,0.3333333333333333,4,4
11,25,1_5_7,0,1,100,1,100,212,36481,100000,307200000,0.3236641221374046,0.3353125545741151,0.3333333333333333,4,4
11,25,1_5_7,1,5,100,5,100,245,34368,100000,307200000,0.37404580152671757,0.3158910631726978,0.3333333333333333,3,3
11,25,1_5_7,2,7,100,7,100,198,37948,100000,307200000,0.30229007633587784,0.34879638225318715,0.3333333333333333,2,2
12,50,1_5_7,0,1,100,1,100,141,21504,100000,202400000,0.2149390243902439,0.19656486805181034,0.2,2,2
12,50,1_5_7,1,5,100,5,200,264,43948,50000,202400000,0.4024390243902439,0.40172213639978427,0.4,3,3
12,50,1_5_7,2,7,100,7,200,251,43947,50000,202400000,0.3826219512195122,0.4017129955484054,0.4,4,4
13,75,1_5_7,0,1,100,1,100,129,20800,100000,189300000,0.196048632218845,0.2010225087222507,0.2,4,4
13,75,1_5_7,1,5,100,5,200,267,41024,50000,189300000,0.40577507598784196,0.3964782402798852,0.4,3,3
13,75,1_5_7,2,7,100,7,200,262,41647,50000,189350000,0.3981762917933131,0.40249925099786416,0.4,2,2
14,100,1_5_7,0,1,100,1,100,46,8448,100000,79000000,0.0701219512195122,0.07844302481057792,0.07692307692307693,2,2
