run_id,alpha,role,threads,tickets,ready,effective,run_ticks,work,jobs,miss,miss_rate,tick_share,work_share,effective_share,stride,pass,sample_pid,result_pid
0,0,ai,25,100,25,100,178,32401,0,0,0.0,0.27639751552795033,0.671592911182506,0.2222222222222222,100000,215400000,3,3
0,0,control,1,300,1,300,376,0,150,0,0.0,0.5838509316770186,0.0,0.6666666666666666,33333,215331189,2,2
0,0,logger,9,50,9,50,90,15844,0,0,0.0,0.13975155279503104,0.32840708881749403,0.1111111111111111,200000,215300000,4,4
1,25,ai,25,100,25,200,227,49687,0,0,0.0,0.349768875192604,0.8184184085256379,0.36363636363636365,50000,172400000,3,3
1,25,control,1,300,1,300,344,0,150,0,0.0,0.5300462249614792,0.0,0.5454545454545454,33333,172364954,4,4
1,25,logger,9,50,9,50,78,11024,0,0,0.0,0.12018489984591679,0.18158159147436215,0.09090909090909091,200000,172500000,2,2
2,50,ai,25,100,25,500,284,57698,0,0,0.0,0.4362519201228879,0.7481490125906044,0.5263157894736842,20000,93003329,3,3
2,50,control,1,300,1,300,318,0,150,0,0.0,0.48847926267281105,0.0,0.3157894736842105,33333,92999086,2,2
2,50,logger,9,50,9,150,49,19423,0,0,0.0,0.07526881720430108,0.2518509874093956,0.15789473684210525,66666,92999094,4,4
3,75,ai,25,100,25,1100,405,75773,0,0,0.0,0.6211656441717791,0.8074529528356174,0.6666666666666666,9090,54803889,3,3
3,75,control,1,300,1,300,170,0,150,4,0.02666666666666667,0.2607361963190184,0.0,0.18181818181818182,33333,54832804,4,4
3,75,logger,9,50,9,250,77,18069,0,0,0.0,0.11809815950920245,0.19254704716438267,0.15151515151515152,40000,54820000,2,2
4,100,ai,25,100,25,2500,450,87209,0,0,0.0,0.6891271056661562,0.8506369364624178,0.7692307692307693,4000,27903975,3,3
4,100,control,1,300,1,300,115,0,103,102,0.9902912621359223,0.17611026033690658,0.0,0.09230769230769231,33333,27933076,2,2
4,100,logger,9,50,9,450,88,15313,0,0,0.0,0.13476263399693722,0.1493630635375822,0.13846153846153847,22222,27921966,4,4
5,0,ai,14,100,14,100,202,33924,0,0,0.0,0.31076923076923074,0.6414309484193012,0.2222222222222222,100000,229500000,3,3
5,0,control,1,300,1,300,380,0,150,0,0.0,0.5846153846153846,0.0,0.6666666666666666,33333,229531063,4,4
5,0,logger,8,50,8,50,68,18964,0,0,0.0,0.10461538461538461,0.35856905158069885,0.1111111111111111,200000,229700000,2,2
6,25,ai,14,100,14,100,204,35595,0,0,0.0,0.3124042879019908,0.6493068223276176,0.2222222222222222,100000,236200000,3,3
6,25,control,1,300,1,300,368,0,150,0,0.0,0.5635528330781011,0.0,0.6666666666666666,33333,236130999,2,2
6,25,logger,8,50,8,50,81,19225,0,0,0.0,0.12404287901990811,0.35069317767238234,0.1111111111111111,200000,236100000,4,4
7,50,ai,14,100,14,300,256,48396,0,0,0.0,0.39263803680981596,0.7415647696975269,0.42857142857142855,33333,136548669,3,3
7,50,control,1,300,1,300,321,0,150,0,0.0,0.49233128834355827,0.0,0.42857142857142855,33333,136531998,4,4
7,50,logger,8,50,8,100,75,16866,0,0,0.0,0.11503067484662577,0.2584352303024731,0.14285714285714285,100000,136600000,2,2
8,75,ai,14,100,14,600,271,63194,0,0,0.0,0.41500765696784075,0.7350019772499942,0.5454545454545454,16666,82746833,3,3
8,75,control,1,300,1,300,311,0,150,0,0.0,0.4762633996937213,0.0,0.2727272727272727,33333,82732539,2,2
8,75,logger,8,50,8,200,71,22784,0,0,0.0,0.10872894333843798,0.26499802275000583,0.18181818181818182,50000,82750000,4,4
9,100,ai,14,100,14,1400,376,73751,0,0,0.0,0.5766871165644172,0.7728606459455495,0.6666666666666666,7142,46302066,3,3
9,100,control,1,300,1,300,173,0,150,100,0.6666666666666666,0.26533742331288346,0.0,0.14285714285714285,33333,46332907,4,4
9,100,logger,8,50,8,400,103,21675,0,0,0.0,0.1579754601226994,0.22713935405445057,0.19047619047619047,25000,46300000,2,2
10,0,ai,9,100,9,100,182,35965,0,0,0.0,0.2787136294027565,0.6603808229742384,0.2222222222222222,100000,235400000,3,3
10,0,control,1,300,1,300,390,0,150,0,0.0,0.5972434915773354,0.0,0.6666666666666666,33333,235331021,2,2
10,0,logger,4,50,4,50,81,18496,0,0,0.0,0.12404287901990811,0.33961917702576155,0.1111111111111111,200000,235400000,4,4
11,25,ai,9,100,9,100,203,34442,0,0,0.0,0.3108728943338438,0.6536228033552207,0.2222222222222222,100000,221000000,3,3
11,25,control,1,300,1,300,361,0,150,0,0.0,0.552833078101072,0.0,0.6666666666666666,33333,220931168,4,4
11,25,logger,4,50,4,50,89,18252,0,0,0.0,0.1362940275650842,0.3463771966447793,0.1111111111111111,200000,221000000,2,2
12,50,ai,9,100,9,300,262,47039,0,0,0.0,0.4012251148545176,0.7305553829906194,0.42857142857142855,33333,136315357,3,3
12,50,control,1,300,1,300,335,0,150,0,0.0,0.5130168453292496,0.0,0.42857142857142855,33333,136332017,2,2
12,50,logger,4,50,4,100,56,17349,0,0,0.0,0.08575803981623277,0.2694446170093806,0.14285714285714285,100000,136400000,4,4
13,75,ai,9,100,9,500,259,65575,0,0,0.0,0.39541984732824426,0.8470580636827488,0.5555555555555556,20000,111106663,3,3
13,75,control,1,300,1,300,323,0,150,0,0.0,0.49312977099236643,0.0,0.3333333333333333,33333,111132274,4,4
