run_id,case,initial_alpha,window,alpha_before,alpha_after,max_allowed,safe_windows,jobs,miss,miss_per_1000,action
0,1_14_8,0,0,0,0,-1,1,25,0,0,safe_hold
0,1_14_8,0,1,0,3,-1,0,25,0,0,aimd_increase
0,1_14_8,0,2,3,3,-1,1,25,0,0,safe_hold
0,1_14_8,0,3,3,6,-1,0,25,0,0,aimd_increase
0,1_14_8,0,4,6,6,-1,1,25,0,0,safe_hold
0,1_14_8,0,5,6,9,-1,0,25,0,0,aimd_increase
0,1_14_8,0,6,9,9,-1,1,25,0,0,safe_hold
0,1_14_8,0,7,9,12,-1,0,25,0,0,aimd_increase
0,1_14_8,0,8,12,12,-1,1,25,0,0,safe_hold
0,1_14_8,0,9,12,15,-1,0,25,0,0,aimd_increase
0,1_14_8,0,10,15,15,-1,1,25,0,0,safe_hold
0,1_14_8,0,11,15,18,-1,0,25,0,0,aimd_increase
0,1_14_8,0,12,18,18,-1,1,25,0,0,safe_hold
0,1_14_8,0,13,18,21,-1,0,25,0,0,aimd_increase
0,1_14_8,0,14,21,21,-1,1,25,0,0,safe_hold
0,1_14_8,0,15,21,24,-1,0,25,0,0,aimd_increase
0,1_14_8,0,16,24,24,-1,1,25,0,0,safe_hold
0,1_14_8,0,17,24,24,-1,0,25,0,0,late_safe_hold
0,1_14_8,0,18,24,24,-1,1,25,0,0,safe_hold
1,1_14_8,25,0,25,25,-1,1,25,0,0,safe_hold
1,1_14_8,25,1,25,28,-1,0,25,0,0,aimd_increase
1,1_14_8,25,2,28,28,-1,1,25,0,0,safe_hold
1,1_14_8,25,3,28,31,-1,0,25,0,0,aimd_increase
1,1_14_8,25,4,31,31,-1,1,25,0,0,safe_hold
1,1_14_8,25,5,31,34,-1,0,25,0,0,aimd_increase
1,1_14_8,25,6,34,34,-1,1,25,0,0,safe_hold
1,1_14_8,25,7,34,37,-1,0,25,0,0,aimd_increase
1,1_14_8,25,8,37,37,-1,1,25,0,0,safe_hold
1,1_14_8,25,9,37,40,-1,0,25,0,0,aimd_increase
1,1_14_8,25,10,40,40,-1,1,25,0,0,safe_hold
1,1_14_8,25,11,40,43,-1,0,25,0,0,aimd_increase
1,1_14_8,25,12,43,43,-1,1,25,0,0,safe_hold
1,1_14_8,25,13,43,46,-1,0,25,0,0,aimd_increase
1,1_14_8,25,14,46,46,-1,1,25,0,0,safe_hold
1,1_14_8,25,15,46,49,-1,0,25,0,0,aimd_increase
1,1_14_8,25,16,49,49,-1,0,25,1,40,gray_hold
1,1_14_8,25,17,49,49,-1,1,25,0,0,safe_hold
1,1_14_8,25,18,49,49,-1,0,25,0,0,late_safe_hold
2,1_14_8,50,0,50,50,-1,1,25,0,0,safe_hold
2,1_14_8,50,1,50,53,-1,0,25,0,0,aimd_increase
2,1_14_8,50,2,53,37,-1,0,25,3,120,aimd_backoff
2,1_14_8,50,3,37,37,-1,0,25,0,0,cooldown_hold
2,1_14_8,50,4,37,37,-1,1,25,0,0,safe_hold
2,1_14_8,50,5,37,40,-1,0,25,0,0,aimd_increase
2,1_14_8,50,6,40,28,-1,0,25,10,400,aimd_backoff
2,1_14_8,50,7,28,28,-1,0,25,0,0,cooldown_hold
2,1_14_8,50,8,28,28,-1,1,25,0,0,safe_hold
2,1_14_8,50,9,28,31,-1,0,25,0,0,aimd_increase
2,1_14_8,50,10,31,31,-1,1,25,0,0,safe_hold
2,1_14_8,50,11,31,34,-1,0,25,0,0,aimd_increase
2,1_14_8,50,12,34,34,-1,1,25,0,0,safe_hold
2,1_14_8,50,13,34,37,-1,0,25,0,0,aimd_increase
2,1_14_8,50,14,37,37,-1,1,25,0,0,safe_hold
2,1_14_8,50,15,37,40,-1,0,25,0,0,aimd_increase
2,1_14_8,50,16,40,40,-1,1,25,0,0,safe_hold
2,1_14_8,50,17,40,40,-1,0,25,0,0,late_safe_hold
2,1_14_8,50,18,40,40,-1,1,25,0,0,safe_hold
3,1_14_8,75,0,75,75,-1,1,25,0,0,safe_hold
3,1_14_8,75,1,75,78,-1,0,26,0,0,aimd_increase
3,1_14_8,75,2,78,78,-1,0,25,2,80,gray_hold
3,1_14_8,75,3,78,78,-1,0,25,2,80,gray_hold
3,1_14_8,75,4,78,54,-1,0,25,3,120,aimd_backoff
3,1_14_8,75,5,54,54,-1,0,26,4,153,cooldown_hold
3,1_14_8,75,6,54,54,-1,1,25,0,0,safe_hold
3,1_14_8,75,7,54,57,-1,0,25,0,0,aimd_increase
3,1_14_8,75,8,57,57,-1,1,25,0,0,safe_hold
3,1_14_8,75,9,57,60,-1,0,25,0,0,aimd_increase
3,1_14_8,75,10,60,60,-1,1,25,0,0,safe_hold
3,1_14_8,75,11,60,63,-1,0,25,0,0,aimd_increase
3,1_14_8,75,12,63,63,-1,1,25,0,0,safe_hold
3,1_14_8,75,13,63,66,-1,0,25,0,0,aimd_increase
3,1_14_8,75,14,66,66,-1,1,25,0,0,safe_hold
3,1_14_8,75,15,66,69,-1,0,25,0,0,aimd_increase
3,1_14_8,75,16,69,69,-1,1,25,0,0,safe_hold
3,1_14_8,75,17,69,69,-1,0,25,0,0,late_safe_hold
3,1_14_8,75,18,69,69,-1,1,25,0,0,safe_hold
4,1_14_8,100,0,100,70,-1,0,25,3,120,aimd_backoff
4,1_14_8,100,1,70,70,-1,0,25,5,200,cooldown_hold
4,1_14_8,100,2,70,70,-1,1,26,0,0,safe_hold
4,1_14_8,100,3,70,73,-1,0,25,0,0,aimd_increase
4,1_14_8,100,4,73,73,-1,1,25,0,0,safe_hold
