run_id,case,initial_alpha,final_alpha,control_jobs,control_miss,control_miss_rate,ai_work,logger_work,control_tick_share,ai_tick_share,logger_tick_share
0,1_14_8,50,50,500,19,0.038,183289,65496,0.48207975769813227,0.41847551741544675,0.099444724886421
1,1_14_8,75,50,500,33,0.066,187173,66446,0.442366026289181,0.44792719919110213,0.10970677451971689
2,1_14_8,100,75,500,23,0.046,211104,67195,0.4666329625884732,0.3872598584428716,0.14610717896865522
3,1_25_9,50,25,500,12,0.024,182554,51537,0.49797160243407707,0.3975659229208925,0.10446247464503043
4,1_25_9,75,50,500,13,0.026,198697,58970,0.4881253158160687,0.4017180394138454,0.1101566447700859
5,1_25_9,100,25,500,65,0.13,199403,55324,0.46558704453441296,0.4200404858299595,0.11437246963562753
6,1_14_8,50,50,500,17,0.034,196559,65424,0.4777327935222672,0.3977732793522267,0.12449392712550607
7,1_14_8,75,50,500,12,0.024,194685,64808,0.4581231079717457,0.417255297679112,0.12462159434914229
8,1_14_8,100,50,500,9,0.018,179648,63793,0.4860900354071826,0.40971168437025796,0.10419828022255943
9,1_25_9,50,50,500,13,0.026,208076,59468,0.4628224582701062,0.4208396560445119,0.11633788568538189
10,1_25_9,75,25,500,79,0.158,193613,48088,0.4580808080808081,0.4287878787878788,0.11313131313131314
11,1_25_9,100,50,500,56,0.112,206795,59834,0.4575328614762386,0.4373104145601618,0.1051567239635996
12,1_14_8,50,50,500,26,0.052,177989,58496,0.4982278481012658,0.37670886075949367,0.1250632911392405
13,1_14_8,75,50,500,10,0.02,191412,62040,0.4708860759493671,0.3969620253164557,0.1321518987341772
14,1_14_8,100,50,500,19,0.038,180614,54901,0.48787878787878786,0.35858585858585856,0.15353535353535352
15,1_25_9,50,50,500,3,0.006,201663,62877,0.47848101265822784,0.42886075949367086,0.09265822784810127
16,1_25_9,75,25,500,18,0.036,200447,55312,0.48535353535353537,0.3898989898989899,0.12474747474747475
17,1_25_9,100,25,500,67,0.134,192172,47194,0.4681818181818182,0.4065656565656566,0.12525252525252525
