run_id,case,initial_alpha,final_alpha,control_jobs,control_miss,control_miss_rate,ai_work,logger_work,control_tick_share,ai_tick_share,logger_tick_share,has_tardiness,control_mean_tardiness,control_tardiness_per_miss,control_max_tardiness,control_mean_resp,control_resp_jitter_std,control_resp_range,control_resp_min,control_resp_max
0,1_14_8,0,24,500,0,0.0,111276,54640,0.5532454361054767,0.2905679513184584,0.15618661257606492,1,0.0,0.0,0,2.018,0.13295111883696462,1,2,3
1,1_14_8,25,49,500,1,0.002,159082,63539,0.5409919028340081,0.3567813765182186,0.10222672064777327,1,0.004,2.0,2,2.026,0.23942430954270366,4,2,6
2,1_14_8,50,40,500,13,0.026,131939,55155,0.5194936708860759,0.349873417721519,0.13063291139240507,1,0.06,2.3076923076923075,5,2.188,0.7698415421370809,7,2,9
3,1_14_8,75,69,500,11,0.022,194553,66843,0.4803030303030303,0.39545454545454545,0.12424242424242424,1,0.03,1.3636363636363635,2,2.428,0.7188991584360079,4,2,6
4,1_14_8,100,61,500,11,0.022,199065,67859,0.4659606656580938,0.42511346444780634,0.10892586989409984,1,0.03,1.3636363636363635,2,2.438,0.7444165500578281,4,2,6
5,1_25_9,0,24,500,0,0.0,113307,48305,0.5496957403651116,0.3052738336713996,0.14503042596348883,1,0.0,0.0,0,2.03,0.19261360284258602,2,2,4
6,1_25_9,25,46,500,2,0.004,148439,43235,0.5251141552511416,0.35971588026382545,0.11516996448503297,1,0.004,1.0,1,2.046,0.26811191693022657,3,2,5
7,1_25_9,50,62,500,5,0.01,216638,55355,0.5025303643724697,0.41548582995951416,0.08198380566801619,1,0.01,1.0,1,2.46,0.6296030495478884,3,2,5
8,1_25_9,75,45,500,11,0.022,230123,53455,0.3969620253164557,0.4936708860759494,0.10936708860759493,1,0.026,1.1818181818181819,2,2.526,0.741163949474069,4,2,6
9,1_25_9,100,44,500,84,0.168,210821,54016,0.4772727272727273,0.4287878787878788,0.09393939393939393,1,3.524,20.976190476190474,37,6.09,9.629428851183231,39,2,41
10,1_14_8,0,24,500,0,0.0,119096,63742,0.5641155600608211,0.31120121642169285,0.12468322351748606,1,0.0,0.0,0,2.004,0.0631189353522379,1,2,3
11,1_14_8,25,49,500,0,0.0,144539,55724,0.5293522267206477,0.3517206477732793,0.11892712550607287,1,0.0,0.0,0,2.034,0.19194790960049868,2,2,4
12,1_14_8,50,53,500,2,0.004,163636,65616,0.5146612740141557,0.3786653185035389,0.10667340748230536,1,0.006,1.5,2,2.098,0.36386261143459075,4,2,6
13,1_14_8,75,68,500,15,0.03,203618,70985,0.4718987341772152,0.42075949367088605,0.10734177215189873,1,0.068,2.2666666666666666,4,2.448,0.8917936981163302,6,2,8
