run_id,alpha,threads_case,role,threads,tickets,ready,effective,run_ticks,work,stride,pass,tick_share,work_share,effective_share,sample_pid,result_pid
0,0,1_2_3,0,1,100,1,100,210,36288,100000,318900000,0.32061068702290074,0.33711121846085246,0.3333333333333333,2,2
0,0,1_2_3,1,2,100,2,100,226,35421,100000,318900000,0.3450381679389313,0.32905689123406784,0.3333333333333333,3,3
0,0,1_2_3,2,3,100,3,100,219,35935,100000,318800000,0.33435114503816793,0.3338318903050797,0.3333333333333333,4,4
1,25,1_2_3,0,1,100,1,100,220,37760,100000,323100000,0.33587786259541985,0.3337192551414507,0.3333333333333333,4,4
1,25,1_2_3,1,2,100,2,100,256,34880,100000,323200000,0.39083969465648855,0.3082660916137129,0.3333333333333333,3,3
1,25,1_2_3,2,3,100,3,100,179,40509,100000,323200000,0.2732824427480916,0.35801465324483644,0.3333333333333333,2,2
2,50,1_2_3,0,1,100,1,100,220,36948,100000,323800000,0.3363914373088685,0.32908190530478465,0.3333333333333333,2,2
2,50,1_2_3,1,2,100,2,100,213,38016,100000,323800000,0.3256880733944954,0.3385941786312302,0.3333333333333333,3,3
2,50,1_2_3,2,3,100,3,100,221,37312,100000,323800000,0.3379204892966361,0.3323239160639852,0.3333333333333333,4,4
3,75,1_2_3,0,1,100,1,100,202,35282,100000,319500000,0.3079268292682927,0.34469552644176754,0.3333333333333333,4,4
3,75,1_2_3,1,2,100,2,100,253,31619,100000,319500000,0.3856707317073171,0.30890901452758485,0.3333333333333333,3,3
3,75,1_2_3,2,3,100,3,100,201,35456,100000,319600000,0.30640243902439024,0.3463954590306476,0.3333333333333333,2,2
4,100,1_2_3,0,1,100,1,100,115,18240,100000,138600000,0.17557251908396945,0.16787696385675235,0.16666666666666666,2,2
4,100,1_2_3,1,2,100,2,200,223,36096,50000,138550000,0.34045801526717556,0.33221967584283624,0.3333333333333333,3,3
4,100,1_2_3,2,3,100,3,300,317,54315,33333,138531970,0.48396946564885496,0.4999033603004114,0.5,4,4
5,0,1_3_5,0,1,100,1,100,239,36480,100000,324400000,0.3643292682926829,0.3241773378002506,0.3333333333333333,4,4
5,0,1_3_5,1,3,100,3,100,214,37402,100000,324500000,0.32621951219512196,0.33237063564706615,0.3333333333333333,3,3
5,0,1_3_5,2,5,100,5,100,203,38649,100000,324500000,0.3094512195121951,0.34345202655268325,0.3333333333333333,2,2
6,25,1_3_5,0,1,100,1,100,215,37312,100000,308500000,0.3287461773700306,0.33255198352926496,0.3333333333333333,2,2
6,25,1_3_5,1,3,100,3,100,208,38528,100000,308500000,0.3180428134556575,0.3433898697849357,0.3333333333333333,3,3
6,25,1_3_5,2,5,100,5,100,231,36359,100000,308500000,0.3532110091743119,0.32405814668579935,0.3333333333333333,4,4
7,50,1_3_5,0,1,100,1,100,143,29760,100000,238300000,0.21865443425076453,0.2624060945931647,0.25,4,4
7,50,1_3_5,1,3,100,3,100,122,31108,100000,238300000,0.18654434250764526,0.2742919620498713,0.25,3,3
7,50,1_3_5,2,5,100,5,200,389,52544,50000,238250000,0.5948012232415902,0.463301943356964,0.5,2,2
8,75,1_3_5,0,1,100,1,100,126,22528,100000,196100000,0.1926605504587156,0.20022575169091572,0.2,2,2
8,75,1_3_5,1,3,100,3,100,150,21504,100000,196100000,0.22935779816513763,0.19112458115951045,0.2,3,3
8,75,1_3_5,2,5,100,5,300,378,68481,33333,196131406,0.5779816513761468,0.6086496671495738,0.6,4,4
9,100,1_3_5,0,1,100,1,100,70,12229,100000,114800000,0.10687022900763359,0.10997499955035163,0.1111111111111111,4,4
9,100,1_3_5,1,3,100,3,300,222,36736,33333,114765556,0.33893129770992364,0.33036565405852625,0.3333333333333333,3,3
9,100,1_3_5,2,5,100,5,500,363,62233,20000,114740000,0.5541984732824428,0.5596593463911221,0.5555555555555556,2,2
10,0,1_5_7,0,1,100,1,100,235,35776,100000,294100000,0.35823170731707316,0.3254730713245997,0.3333333333333333,2,2
10,0,1_5_7,1,5,100,5,100,220,36707,100000,294100000,0.3353658536585366,0.3339428675400291,0.3333333333333333,3,3
10,0,1_5_7,2,7,100,7,100,201,37437,100000,294000000,0.30640243902439024,0.34058406113537115,0.3333333333333333,4,4
11,25,1_5_7,0,1,100,1,100,224,37312,100000,318900000,0.3425076452599388,0.3294919684566544,0.3333333333333333,4,4
11,25,1_5_7,1,5,100,5,100,224,37157,100000,319000000,0.3425076452599388,0.3281232062592171,0.3333333333333333,3,3
11,25,1_5_7,2,7,100,7,100,206,38772,100000,319000000,0.3149847094801223,0.34238482528412856,0.3333333333333333,2,2
12,50,1_5_7,0,1,100,1,100,138,21760,100000,192100000,0.2116564417177914,0.19284283663304916,0.2,2,2
12,50,1_5_7,1,5,100,5,200,258,45490,50000,192000000,0.39570552147239263,0.4031443308105426,0.4,3,3
12,50,1_5_7,2,7,100,7,200,256,45588,50000,192000000,0.39263803680981596,0.4040128325564083,0.4,4,4
13,75,1_5_7,0,1,100,1,100,86,16832,100000,138800000,0.13169984686064318,0.14779821750010977,0.14285714285714285,4,4
13,75,1_5_7,1,5,100,5,300,275,49057,33333,138765331,0.4211332312404288,0.4307590990911885,0.42857142857142855,3,3
13,75,1_5_7,2,7,100,7,300,292,47996,33333,138798662,0.44716692189892804,0.4214426834087018,0.42857142857142855,2,2
14,100,1_5_7,0,1,100,1,100,46,9344,100000,76500000,0.07044410413476264,0.08109632792633287,0.07692307692307693,2,2
14,100,1_5_7,1,5,100,5,500,244,44989,20000,76460000,0.37366003062787134,0.3904583365879484,0.38461538461538464,3,3
14,100,1_5_7,2,7,100,7,700,363,60888,14285,76453590,0.555895865237366,0.5284453354857187,0.5384615384615384,4,4
15,0,2_6_11,0,2,100,2,100,231,35456,100000,306600000,0.35429447852760737,0.32248265073171617,0.3333333333333333,4,4
15,0,2_6_11,1,6,100,6,100,211,36828,100000,306700000,0.3236196319018405,0.3349613904881443,0.3333333333333333,3,3
15,0,2_6_11,2,11,100,11,100,210,37663,100000,306700000,0.3220858895705521,0.3425559587801395,0.3333333333333333,2,2
16,25,2_6_11,0,2,100,2,100,246,35264,100000,294500000,0.3778801843317972,0.3173506119510439,0.3333333333333333,2,2
16,25,2_6_11,1,6,100,6,100,204,38024,100000,294500000,0.31336405529953915,0.3421886249100072,0.3333333333333333,3,3
16,25,2_6_11,2,11,100,11,100,201,37832,100000,294500000,0.3087557603686636,0.3404607631389489,0.3333333333333333,4,4
17,50,2_6_11,0,2,100,2,100,97,19520,100000,152300000,0.14877300613496933,0.17404950424423996,0.16666666666666666,4,4
17,50,2_6_11,1,6,100,6,200,226,36464,50000,152250000,0.34662576687116564,0.325130180469363,0.3333333333333333,3,3
17,50,2_6_11,2,11,100,11,300,329,56168,33333,152281878,0.504601226993865,0.500820315286397,0.5,2,2
18,75,2_6_11,0,2,100,2,100,62,12864,100000,103600000,0.0950920245398773,0.11528534556925724,0.1111111111111111,2,2
18,75,2_6_11,1,6,100,6,300,228,36544,33333,103599030,0.3496932515337423,0.32750215084599943,0.3333333333333333,3,3
18,75,2_6_11,2,11,100,11,500,362,62176,20000,103600000,0.5552147239263804,0.5572125035847433,0.5555555555555556,4,4
19,100,2_6_11,0,2,100,2,200,62,11408,50000,45200000,0.09465648854961832,0.10969125296872145,0.10526315789473684,4,4
19,100,2_6_11,1,6,100,6,600,227,31415,16666,45215146,0.3465648854961832,0.30206440322689204,0.3157894736842105,3,3
19,100,2_6_11,2,11,100,11,1100,366,61178,9090,45205295,0.5587786259541985,0.5882443438043865,0.5789473684210527,2,2
20,0,3_8_13,0,3,100,3,100,216,37746,100000,303300000,0.3317972350230415,0.33333038970672646,0.3333333333333333,2,2
20,0,3_8_13,1,8,100,8,100,226,37383,100000,303200000,0.34715821812596004,0.3301247803318645,0.3333333333333333,3,3
20,0,3_8_13,2,13,100,13,100,209,38110,100000,303200000,0.3210445468509985,0.33654482996140905,0.3333333333333333,4,4
21,25,3_8_13,0,3,100,3,100,203,37557,100000,299200000,0.31278890600924497,0.3443637563954448,0.3333333333333333,4,4
21,25,3_8_13,1,8,100,8,100,227,35628,100000,299300000,0.349768875192604,0.3266765692908621,0.3333333333333333,3,3
21,25,3_8_13,2,13,100,13,100,219,35877,100000,299300000,0.337442218798151,0.3289596743136931,0.3333333333333333,2,2
22,50,3_8_13,0,3,100,3,100,104,19139,100000,157700000,0.1597542242703533,0.16791247740871365,0.16666666666666666,2,2
22,50,3_8_13,1,8,100,8,200,219,37887,50000,157749997,0.33640552995391704,0.3323945886192557,0.3333333333333333,3,3
22,50,3_8_13,2,13,100,13,300,328,56956,33333,157715172,0.5038402457757296,0.4996929339720307,0.5,4,4
23,75,3_8_13,0,3,100,3,100,63,10130,100000,88100000,0.0967741935483871,0.09144002238610617,0.09090909090909091,4,4
23,75,3_8_13,1,8,100,8,400,237,39864,25000,88100000,0.3640552995391705,0.3598386033958279,0.36363636363636365,3,3
23,75,3_8_13,2,13,100,13,600,351,60789,16666,88096822,0.5391705069124424,0.548721374218066,0.5454545454545454,2,2
24,100,3_8_13,0,3,100,3,300,94,13824,33333,46132958,0.1443932411674347,0.12095440585872903,0.125,2,2
