run_id,case,initial_alpha,window,alpha_before,alpha_after,max_allowed,safe_windows,jobs,miss,miss_per_1000,action
0,1_14_8,50,0,50,50,100,1,25,0,0,safe_hold
0,1_14_8,50,1,50,75,100,0,25,0,0,probe_up
0,1_14_8,50,2,75,75,100,1,25,0,0,safe_hold
0,1_14_8,50,3,75,100,100,0,25,0,0,probe_up
0,1_14_8,50,4,100,75,75,0,25,13,520,severe_down
0,1_14_8,50,5,75,75,75,0,26,1,38,cooldown_hold
0,1_14_8,50,6,75,75,75,1,25,0,0,safe_hold
0,1_14_8,50,7,75,75,75,0,25,0,0,safe_at_limit
0,1_14_8,50,8,75,75,75,0,25,1,40,gray_hold
0,1_14_8,50,9,75,75,75,1,25,0,0,safe_hold
0,1_14_8,50,10,75,75,75,0,26,0,0,safe_at_limit
0,1_14_8,50,11,75,75,75,1,25,0,0,safe_hold
0,1_14_8,50,12,75,75,75,0,25,0,0,safe_at_limit
0,1_14_8,50,13,75,50,50,0,24,3,125,unsafe_down
0,1_14_8,50,14,50,50,50,0,26,1,38,cooldown_hold
0,1_14_8,50,15,50,50,50,1,25,0,0,safe_hold
0,1_14_8,50,16,50,50,50,0,25,0,0,late_safe_hold
0,1_14_8,50,17,50,50,50,1,25,0,0,safe_hold
0,1_14_8,50,18,50,50,50,0,25,0,0,late_safe_hold
1,1_14_8,75,0,75,75,100,0,25,1,40,gray_hold
1,1_14_8,75,1,75,75,100,1,25,0,0,safe_hold
1,1_14_8,75,2,75,100,100,0,25,0,0,probe_up
1,1_14_8,75,3,100,100,100,0,25,1,40,gray_hold
1,1_14_8,75,4,100,75,75,0,23,17,739,severe_down
1,1_14_8,75,5,75,75,75,0,27,5,185,cooldown_hold
1,1_14_8,75,6,75,75,75,1,25,0,0,safe_hold
1,1_14_8,75,7,75,75,75,0,25,0,0,safe_at_limit
1,1_14_8,75,8,75,75,75,1,25,0,0,safe_hold
1,1_14_8,75,9,75,75,75,0,25,0,0,safe_at_limit
1,1_14_8,75,10,75,75,75,1,25,0,0,safe_hold
1,1_14_8,75,11,75,75,75,0,25,2,80,gray_hold
1,1_14_8,75,12,75,75,75,1,26,0,0,safe_hold
1,1_14_8,75,13,75,75,75,0,24,0,0,safe_at_limit
1,1_14_8,75,14,75,50,50,0,26,7,269,unsafe_down
1,1_14_8,75,15,50,50,50,0,25,0,0,cooldown_hold
1,1_14_8,75,16,50,50,50,1,25,0,0,safe_hold
1,1_14_8,75,17,50,50,50,0,25,0,0,late_safe_hold
1,1_14_8,75,18,50,50,50,1,25,0,0,safe_hold
2,1_14_8,100,0,100,75,75,0,24,11,458,unsafe_down
2,1_14_8,100,1,75,75,75,0,26,9,346,cooldown_hold
2,1_14_8,100,2,75,75,75,0,25,2,80,gray_hold
2,1_14_8,100,3,75,75,75,1,25,0,0,safe_hold
2,1_14_8,100,4,75,75,75,0,25,0,0,safe_at_limit
2,1_14_8,100,5,75,75,75,1,26,0,0,safe_hold
2,1_14_8,100,6,75,75,75,0,24,0,0,safe_at_limit
2,1_14_8,100,7,75,75,75,1,26,0,0,safe_hold
2,1_14_8,100,8,75,75,75,0,24,0,0,safe_at_limit
2,1_14_8,100,9,75,75,75,1,25,0,0,safe_hold
2,1_14_8,100,10,75,75,75,0,26,0,0,safe_at_limit
2,1_14_8,100,11,75,75,75,1,25,0,0,safe_hold
2,1_14_8,100,12,75,75,75,0,25,0,0,safe_at_limit
2,1_14_8,100,13,75,75,75,1,25,0,0,safe_hold
2,1_14_8,100,14,75,75,75,0,25,0,0,safe_at_limit
2,1_14_8,100,15,75,75,75,1,24,0,0,safe_hold
2,1_14_8,100,16,75,75,75,0,25,0,0,late_safe_hold
2,1_14_8,100,17,75,75,75,1,26,0,0,safe_hold
2,1_14_8,100,18,75,75,75,0,24,0,0,late_safe_hold
3,1_25_9,50,0,50,50,100,1,25,0,0,safe_hold
3,1_25_9,50,1,50,75,100,0,25,0,0,probe_up
3,1_25_9,50,2,75,50,50,0,23,3,130,unsafe_down
3,1_25_9,50,3,50,50,50,0,27,6,222,cooldown_hold
3,1_25_9,50,4,50,50,50,1,25,0,0,safe_hold
3,1_25_9,50,5,50,50,50,0,25,0,0,safe_at_limit
3,1_25_9,50,6,50,50,50,1,25,0,0,safe_hold
3,1_25_9,50,7,50,50,50,0,25,0,0,safe_at_limit
3,1_25_9,50,8,50,50,50,1,25,0,0,safe_hold
3,1_25_9,50,9,50,50,50,0,25,0,0,safe_at_limit
3,1_25_9,50,10,50,50,50,1,25,0,0,safe_hold
3,1_25_9,50,11,50,25,25,0,25,3,120,unsafe_down
3,1_25_9,50,12,25,25,25,0,25,0,0,cooldown_hold
3,1_25_9,50,13,25,25,25,1,25,0,0,safe_hold
3,1_25_9,50,14,25,25,25,0,25,0,0,safe_at_limit
3,1_25_9,50,15,25,25,25,1,25,0,0,safe_hold
3,1_25_9,50,16,25,25,25,0,25,0,0,late_safe_hold
3,1_25_9,50,17,25,25,25,1,25,0,0,safe_hold
3,1_25_9,50,18,25,25,25,0,25,0,0,late_safe_hold
4,1_25_9,75,0,75,50,50,0,26,6,230,unsafe_down
4,1_25_9,75,1,50,50,50,0,25,0,0,cooldown_hold
4,1_25_9,75,2,50,50,50,1,25,0,0,safe_hold
4,1_25_9,75,3,50,50,50,0,25,0,0,safe_at_limit
4,1_25_9,75,4,50,50,50,1,25,0,0,safe_hold
4,1_25_9,75,5,50,50,50,0,25,0,0,safe_at_limit
4,1_25_9,75,6,50,50,50,1,25,0,0,safe_hold
4,1_25_9,75,7,50,50,50,0,25,0,0,safe_at_limit
4,1_25_9,75,8,50,50,50,1,25,0,0,safe_hold
4,1_25_9,75,9,50,50,50,0,25,0,0,safe_at_limit
4,1_25_9,75,10,50,50,50,0,26,1,38,gray_hold
4,1_25_9,75,11,50,50,50,1,25,0,0,safe_hold
4,1_25_9,75,12,50,50,50,0,25,0,0,safe_at_limit
4,1_25_9,75,13,50,50,50,1,25,0,0,safe_hold
4,1_25_9,75,14,50,50,50,0,25,1,40,gray_hold
4,1_25_9,75,15,50,50,50,1,25,0,0,safe_hold
4,1_25_9,75,16,50,50,50,0,25,0,0,late_safe_hold
4,1_25_9,75,17,50,50,50,1,25,0,0,safe_hold
4,1_25_9,75,18,50,50,50,0,25,0,0,late_safe_hold
5,1_25_9,100,0,100,75,75,0,16,15,937,severe_down
5,1_25_9,100,1,75,75,75,0,31,31,1000,cooldown_hold
5,1_25_9,100,2,75,50,50,0,29,16,551,severe_down
5,1_25_9,100,3,50,50,50,0,25,0,0,cooldown_hold
5,1_25_9,100,4,50,50,50,1,25,0,0,safe_hold
5,1_25_9,100,5,50,50,50,0,25,0,0,safe_at_limit
5,1_25_9,100,6,50,50,50,1,25,0,0,safe_hold
5,1_25_9,100,7,50,50,50,0,25,0,0,safe_at_limit
5,1_25_9,100,8,50,50,50,1,25,0,0,safe_hold
5,1_25_9,100,9,50,50,50,0,25,0,0,safe_at_limit
5,1_25_9,100,10,50,50,50,1,25,0,0,safe_hold
5,1_25_9,100,11,50,50,50,0,25,0,0,safe_at_limit
5,1_25_9,100,12,50,50,50,1,25,0,0,safe_hold
5,1_25_9,100,13,50,50,50,0,26,0,0,safe_at_limit
5,1_25_9,100,14,50,50,50,1,25,0,0,safe_hold
5,1_25_9,100,15,50,50,50,0,25,0,0,safe_at_limit
5,1_25_9,100,16,50,50,50,1,24,0,0,safe_hold
5,1_25_9,100,17,50,25,25,0,26,3,115,unsafe_down
5,1_25_9,100,18,25,25,25,0,25,0,0,cooldown_hold
6,1_14_8,50,0,50,50,100,1,25,0,0,safe_hold
6,1_14_8,50,1,50,75,100,0,25,0,0,probe_up
6,1_14_8,50,2,75,75,100,1,25,0,0,safe_hold
6,1_14_8,50,3,75,75,100,0,25,1,40,gray_hold
6,1_14_8,50,4,75,75,100,1,24,0,0,safe_hold
6,1_14_8,50,5,75,75,100,0,26,1,38,gray_hold
6,1_14_8,50,6,75,75,100,1,25,0,0,safe_hold
6,1_14_8,50,7,75,100,100,0,25,0,0,probe_up
6,1_14_8,50,8,100,75,75,0,25,9,360,unsafe_down
6,1_14_8,50,9,75,75,75,0,25,0,0,cooldown_hold
6,1_14_8,50,10,75,75,75,1,25,0,0,safe_hold
6,1_14_8,50,11,75,75,75,0,25,0,0,safe_at_limit
6,1_14_8,50,12,75,75,75,1,25,0,0,safe_hold
6,1_14_8,50,13,75,75,75,0,25,0,0,safe_at_limit
6,1_14_8,50,14,75,75,75,1,25,0,0,safe_hold
6,1_14_8,50,15,75,75,75,0,25,0,0,safe_at_limit
6,1_14_8,50,16,75,50,50,0,25,6,240,unsafe_down
6,1_14_8,50,17,50,50,50,0,25,0,0,cooldown_hold
6,1_14_8,50,18,50,50,50,1,25,0,0,safe_hold
7,1_14_8,75,0,75,75,100,1,25,0,0,safe_hold
7,1_14_8,75,1,75,100,100,0,25,0,0,probe_up
7,1_14_8,75,2,100,100,100,1,25,0,0,safe_hold
7,1_14_8,75,3,100,75,75,0,25,5,200,unsafe_down
7,1_14_8,75,4,75,75,75,0,26,1,38,cooldown_hold
7,1_14_8,75,5,75,75,75,1,25,0,0,safe_hold
7,1_14_8,75,6,75,75,75,0,25,1,40,gray_hold
7,1_14_8,75,7,75,75,75,1,25,0,0,safe_hold
7,1_14_8,75,8,75,75,75,0,25,0,0,safe_at_limit
7,1_14_8,75,9,75,75,75,1,25,0,0,safe_hold
7,1_14_8,75,10,75,75,75,0,25,0,0,safe_at_limit
7,1_14_8,75,11,75,50,50,0,25,4,160,unsafe_down
7,1_14_8,75,12,50,50,50,0,26,1,38,cooldown_hold
7,1_14_8,75,13,50,50,50,1,25,0,0,safe_hold
7,1_14_8,75,14,50,50,50,0,25,0,0,safe_at_limit
7,1_14_8,75,15,50,50,50,1,25,0,0,safe_hold
7,1_14_8,75,16,50,50,50,0,25,0,0,late_safe_hold
7,1_14_8,75,17,50,50,50,1,25,0,0,safe_hold
7,1_14_8,75,18,50,50,50,0,25,0,0,late_safe_hold
8,1_14_8,100,0,100,75,75,0,25,4,160,unsafe_down
8,1_14_8,100,1,75,75,75,0,25,0,0,cooldown_hold
8,1_14_8,100,2,75,75,75,1,25,0,0,safe_hold
8,1_14_8,100,3,75,75,75,0,25,0,0,safe_at_limit
8,1_14_8,100,4,75,75,75,0,24,1,41,gray_hold
8,1_14_8,100,5,75,75,75,0,26,1,38,gray_hold
8,1_14_8,100,6,75,75,75,1,25,0,0,safe_hold
8,1_14_8,100,7,75,75,75,0,25,0,0,safe_at_limit
8,1_14_8,100,8,75,50,50,0,25,3,120,unsafe_down
8,1_14_8,100,9,50,50,50,0,25,0,0,cooldown_hold
8,1_14_8,100,10,50,50,50,1,25,0,0,safe_hold
8,1_14_8,100,11,50,50,50,0,25,0,0,safe_at_limit
8,1_14_8,100,12,50,50,50,1,25,0,0,safe_hold
8,1_14_8,100,13,50,50,50,0,25,0,0,safe_at_limit
8,1_14_8,100,14,50,50,50,1,25,0,0,safe_hold
8,1_14_8,100,15,50,50,50,0,25,0,0,safe_at_limit
8,1_14_8,100,16,50,50,50,1,25,0,0,safe_hold
8,1_14_8,100,17,50,50,50,0,25,0,0,late_safe_hold
8,1_14_8,100,18,50,50,50,1,25,0,0,safe_hold
9,1_25_9,50,0,50,50,100,1,25,0,0,safe_hold
9,1_25_9,50,1,50,75,100,0,25,0,0,probe_up
9,1_25_9,50,2,75,75,100,1,25,0,0,safe_hold
9,1_25_9,50,3,75,75,100,0,25,1,40,gray_hold
9,1_25_9,50,4,75,75,100,1,25,0,0,safe_hold
9,1_25_9,50,5,75,50,50,0,26,12,461,unsafe_down
9,1_25_9,50,6,50,50,50,0,25,0,0,cooldown_hold
9,1_25_9,50,7,50,50,50,1,25,0,0,safe_hold
9,1_25_9,50,8,50,50,50,0,24,0,0,safe_at_limit
9,1_25_9,50,9,50,50,50,1,26,0,0,safe_hold
9,1_25_9,50,10,50,50,50,0,25,0,0,safe_at_limit
9,1_25_9,50,11,50,50,50,1,25,0,0,safe_hold
9,1_25_9,50,12,50,50,50,0,25,0,0,safe_at_limit
9,1_25_9,50,13,50,50,50,1,25,0,0,safe_hold
9,1_25_9,50,14,50,50,50,0,25,0,0,safe_at_limit
9,1_25_9,50,15,50,50,50,1,25,0,0,safe_hold
9,1_25_9,50,16,50,50,50,0,25,0,0,late_safe_hold
9,1_25_9,50,17,50,50,50,1,25,0,0,safe_hold
9,1_25_9,50,18,50,50,50,0,25,0,0,late_safe_hold
10,1_25_9,75,0,75,75,100,1,25,0,0,safe_hold
10,1_25_9,75,1,75,100,100,0,25,0,0,probe_up
10,1_25_9,75,2,100,75,75,0,16,16,1000,severe_down
10,1_25_9,75,3,75,75,75,0,30,30,1000,cooldown_hold
10,1_25_9,75,4,75,50,50,0,29,29,1000,severe_down
10,1_25_9,75,5,50,50,50,0,26,1,38,cooldown_hold
10,1_25_9,75,6,50,50,50,1,25,0,0,safe_hold
10,1_25_9,75,7,50,50,50,0,25,0,0,safe_at_limit
10,1_25_9,75,8,50,50,50,1,25,0,0,safe_hold
10,1_25_9,75,9,50,50,50,0,25,0,0,safe_at_limit
10,1_25_9,75,10,50,25,25,0,26,3,115,unsafe_down
10,1_25_9,75,11,25,25,25,0,25,0,0,cooldown_hold
