run_id,case,initial_alpha,final_alpha,control_jobs,control_miss,control_miss_rate,ai_work,logger_work,control_tick_share,ai_tick_share,logger_tick_share,has_tardiness,control_mean_tardiness,control_tardiness_per_miss,control_max_tardiness,control_mean_resp,control_resp_jitter_std,control_resp_range,control_resp_min,control_resp_max
0,1_14_8,0,25,500,14,0.028,49203,26022,0.5364372469635628,0.32034412955465585,0.14321862348178138,1,0.084,3.0,6,2.302,0.9522583683013764,8,2,10
1,1_14_8,25,25,500,4,0.008,70403,30165,0.5469304921359716,0.2952815829528158,0.15778792491121257,1,0.008,1.0,1,2.208,0.5260570311287548,3,2,5
2,1_14_8,50,25,500,16,0.032,72440,31516,0.5141987829614605,0.3438133874239351,0.14198782961460446,1,0.1,3.125,8,2.384,1.0754273569144501,10,2,12
3,1_14_8,75,25,500,29,0.058,77785,32125,0.49113025848960973,0.36644703497212366,0.1424227065382666,1,0.238,4.103448275862069,9,2.634,1.6074961897310986,11,2,13
4,1_14_8,100,25,500,105,0.21,83749,30928,0.48559878726629613,0.36129358261748357,0.1531076301162203,1,3.138,14.942857142857143,29,5.72,7.652555128844222,31,2,33
5,1_25_9,0,0,500,23,0.046,80400,24325,0.5202839756592292,0.37677484787018256,0.10294117647058823,1,0.084,1.826086956521739,5,2.4,0.9359487165438074,7,2,9
6,1_25_9,25,25,500,32,0.064,87752,21117,0.5240506329113924,0.3741772151898734,0.10177215189873418,1,0.176,2.75,9,2.676,1.3896128957375142,11,2,13
7,1_25_9,50,0,500,22,0.044,80866,24186,0.5154900964956831,0.37176231589639414,0.1127475876079228,1,0.094,2.1363636363636362,4,2.558,0.9953069878183315,6,2,8
8,1_25_9,75,0,500,106,0.212,63578,26397,0.5020242914979757,0.35779352226720645,0.14018218623481782,1,4.5,21.22641509433962,32,7.108,10.306519102005293,34,2,36
9,1_25_9,100,0,500,171,0.342,80175,31498,0.4852941176470588,0.390973630831643,0.12373225152129817,1,19.804,57.90643274853801,95,22.578,32.2131016203035,97,2,99
10,1_14_8,0,25,500,11,0.022,53087,24736,0.5230613279270147,0.324885960466295,0.15205271160669032,1,0.038,1.7272727272727273,3,2.336,0.7396647889415854,5,2,7
11,1_14_8,25,25,500,17,0.034,56349,24413,0.5266092245311708,0.31829700963000507,0.15509376583882412,1,0.058,1.7058823529411764,3,2.372,0.8423870844214081,5,2,7
12,1_14_8,50,25,500,5,0.01,58277,27782,0.5344827586206896,0.3118661257606491,0.15365111561866127,1,0.012,1.2,2,2.224,0.5530135622206733,4,2,6
13,1_14_8,75,25,500,22,0.044,90584,38302,0.5121703853955375,0.34533468559837727,0.14249492900608518,1,0.09,2.0454545454545454,5,2.438,0.9808955092159402,7,2,9
14,1_14_8,100,25,500,85,0.17,97371,34500,0.49318525996971224,0.3498233215547703,0.15699141847551742,1,1.2,7.0588235294117645,14,3.72,3.623478991245844,16,2,18
15,1_25_9,0,25,500,11,0.022,100569,26137,0.5289046653144016,0.3580121703853955,0.11308316430020283,1,0.038,1.7272727272727273,3,2.25,0.7010706098532445,5,2,7
16,1_25_9,25,25,500,11,0.022,101563,24856,0.5261023821591485,0.37557019766852506,0.0983274201723264,1,0.038,1.7272727272727273,3,2.302,0.7202749475026874,5,2,7
17,1_25_9,50,25,500,13,0.026,100575,26220,0.5167342799188641,0.38742393509127787,0.09584178498985801,1,0.042,1.6153846153846154,3,2.342,0.7648764606130847,5,2,7
