case,role,tickets,n,expected_share_mean,expected_share_std,expected_share_min,expected_share_max,effective_mean,effective_std,effective_min,effective_max,ready_mean,ready_std,ready_min,ready_max,run_ticks_mean,run_ticks_std,run_ticks_min,run_ticks_max,work_mean,work_std,work_min,work_max,tick_share_mean,tick_share_std,tick_share_min,tick_share_max,work_share_mean,work_share_std,work_share_min,work_share_max,tick_error_mean,tick_error_std,tick_error_min,tick_error_max,abs_tick_error_mean,abs_tick_error_std,abs_tick_error_min,abs_tick_error_max
100_100_100,0,100,5,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0,220.6,9.787747442593725,210.0,232.0,35617.6,3308.696767611079,29799.0,38016.0,0.3365960714950661,0.01514807100669215,0.3201219512195122,0.35419847328244275,0.3322951097597593,0.00790120093710941,0.32210354783286393,0.343960293184048,0.003262738161732781,0.01514807100669215,-0.013211382113821113,0.020865139949109435,0.01220799975175323,0.007515105334611947,0.003562340966921096,0.020865139949109435
100_100_100,1,100,5,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0,219.4,6.8044103344816,210.0,227.0,35765.6,3909.8068110841486,28932.0,38656.0,0.33475470117296596,0.010270193799270575,0.32061068702290074,0.34603658536585363,0.3331285928272874,0.005323811904107267,0.3242113466886303,0.33846580290959166,0.0014213678396326145,0.010270193799270575,-0.012722646310432573,0.012703252032520318,0.0077311797927139495,0.0057696024655012005,0.00101626016260159,0.012722646310432573
100_100_100,2,100,5,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0,215.4,11.2605506082074,198.0,228.0,35994.2,4722.9118348747525,27904.0,39936.0,0.328649227331968,0.0170605358767411,0.30229007633587784,0.3475609756097561,0.33457629741295336,0.011739925492066506,0.32208691637329023,0.3536851054785058,-0.004684106001365351,0.017060535876741098,-0.03104325699745547,0.014227642276422758,0.012614348662570584,0.010935524928666361,0.005089058524173018,0.03104325699745547
100_200_300,0,100,5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0,99.6,21.51278689523977,72.0,119.0,19891.6,2901.901324993667,16825.0,23552.0,0.15196797616831131,0.032822514066323756,0.1099236641221374,0.18140243902439024,0.17930500190398335,0.027502531565783802,0.15684282158604682,0.2117090797954102,-0.014698690498355363,0.03282251406632375,-0.056743002544529256,0.014735772357723581,0.025274933283683975,0.02342763308517803,0.0027989821882951627,0.056743002544529256
100_200_300,1,200,5,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,200.0,0.0,200.0,200.0,1.0,0.0,1.0,1.0,208.2,15.08973160795115,197.0,228.0,38313.0,2301.5588195829364,35840.0,40960.0,0.3176675665611618,0.023008093653112717,0.300763358778626,0.3480916030534351,0.3448928281315317,0.016114666730977147,0.3221659909930155,0.35987620370456685,-0.01566576677217151,0.023008093653112717,-0.03256997455470734,0.014758269720101802,0.02299183888785452,0.013242426701483852,0.0035569105691057312,0.03256997455470734
100_200_300,2,300,5,0.5,0.0,0.5,0.5,300.0,0.0,300.0,300.0,1.0,0.0,1.0,1.0,347.6,6.913754406977442,339.0,355.0,52861.8,2581.622493704298,49635.0,55936.0,0.5303644572705268,0.010619090384798753,0.5167682926829268,0.5419847328244275,0.4758021699644849,0.012294857019110352,0.4591496919575956,0.4854386057751671,0.0303644572705269,0.010619090384798753,0.01676829268292679,0.041984732824427495,0.0303644572705269,0.010619090384798753,0.01676829268292679,0.041984732824427495
100_300_700,0,100,5,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0,61.2,1.9235384061671343,59.0,64.0,10227.0,356.4323217666995,9856.0,10821.0,0.09340587576160794,0.0029057765372977945,0.0900763358778626,0.09770992366412214,0.09043412442874663,0.0018045865237838448,0.08804244934823577,0.0930734627525524,0.002496784852517045,0.0029057765372977945,-0.0008327550312283161,0.006800832755031225,0.0028298868650083716,0.002495121429605166,0.0008327550312283161,0.006800832755031225
100_300_700,1,300,5,0.2727272727272727,0.0,0.2727272727272727,0.2727272727272727,300.0,0.0,300.0,300.0,1.0,0.0,1.0,1.0,146.4,3.974921382870358,143.0,152.0,35317.0,1163.6189238749944,33536.0,36744.0,0.22344090360680907,0.0059492387708411365,0.21798780487804878,0.23170731707317074,0.3122904194250671,0.004935908064908831,0.30716565029287046,0.3190996013860303,-0.04928636912046368,0.005949238770841136,-0.05473946784922393,-0.041019955654101964,0.04928636912046368,0.005949238770841136,0.041019955654101964,0.05473946784922393
100_300_700,2,700,5,0.6363636363636364,0.0,0.6363636363636364,0.6363636363636364,700.0,0.0,700.0,700.0,1.0,0.0,1.0,1.0,447.6,4.669047011971501,442.0,451.0,67536.6,1560.818791532188,65555.0,69730.0,0.683153220631583,0.007430140257856961,0.6748091603053435,0.6896024464831805,0.5972754561461864,0.003490116031259155,0.592857949265734,0.6017145951701286,0.04678958426794668,0.00743014025785696,0.038445523941707194,0.05323881011954412,0.04678958426794668,0.00743014025785696,0.038445523941707194,0.05323881011954412
50_100_250,0,50,5,0.125,0.0,0.125,0.125,50.0,0.0,50.0,50.0,1.0,0.0,1.0,1.0,58.4,13.390294993016397,44.0,77.0,16914.8,1945.1949002606398,14720.0,18944.0,0.08914780902308637,0.020362778504130503,0.06717557251908397,0.1173780487804878,0.15104365740238873,0.01588931135282812,0.13110782549833444,0.16565956888636263,-0.035852190976913625,0.020362778504130503,-0.05782442748091603,-0.007621951219512202,0.035852190976913625,0.020362778504130503,0.007621951219512202,0.05782442748091603
50_100_250,1,100,5,0.25,0.0,0.25,0.25,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0,170.0,8.154753215150045,159.0,180.0,26982.0,1266.1814640879877,25520.0,28795.0,0.25954828057805057,0.012601482101658918,0.2423780487804878,0.2748091603053435,0.24117121385108375,0.011995229040719183,0.22862139827729439,0.2564707768494932,0.009548280578050539,0.012601482101658918,-0.007621951219512202,0.024809160305343525,0.01259706106585542,0.008625659063734688,0.001908396946564861,0.024809160305343525
50_100_250,2,250,5,0.625,0.0,0.625,0.625,250.0,0.0,250.0,250.0,1.0,0.0,1.0,1.0,426.6,5.128352561983234,420.0,432.0,68018.6,1545.892719434308,65792.0,69267.0,0.651303910398863,0.00841882372710575,0.6402439024390244,0.6605504587155964,0.6077851287465276,0.0041005328652289385,0.6039176809678545,0.6124213976521724,0.026303910398863106,0.00841882372710575,0.015243902439024404,0.03555045871559637,0.026303910398863106,0.00841882372710575,0.015243902439024404,0.03555045871559637
80_120_300,0,80,5,0.16,0.0,0.16,0.16,80.0,0.0,80.0,80.0,1.0,0.0,1.0,1.0,89.8,6.572670690061994,80.0,98.0,20041.6,1230.4197657710154,18304.0,21760.0,0.1369312046173897,0.01000570252331921,0.12195121951219512,0.14939024390243902,0.17979277199486904,0.006570316109760067,0.1714242901026448,0.1881595086280348,-0.023068795382610315,0.01000570252331921,-0.038048780487804884,-0.010609756097560985,0.023068795382610315,0.01000570252331921,0.010609756097560985,0.038048780487804884
80_120_300,1,120,5,0.24,0.0,0.24,0.24,120.0,0.0,120.0,120.0,1.0,0.0,1.0,1.0,135.2,5.761944116355173,126.0,140.0,29729.0,1571.0910221880845,27877.0,31582.0,0.2061608638987153,0.008795569990543971,0.19207317073170732,0.21341463414634146,0.2667128445076596,0.005840593058673814,0.2610132674175819,0.2754567454724357,-0.033839136101284674,0.008795569990543971,-0.04792682926829267,-0.026585365853658532,0.033839136101284674,0.008795569990543971,0.026585365853658532,0.04792682926829267
80_120_300,2,300,5,0.6,0.0,0.6,0.6,300.0,0.0,300.0,300.0,1.0,0.0,1.0,1.0,430.8,10.03493896344168,418.0,442.0,61674.8,2461.8585865154805,58830.0,65041.0,0.656907931483895,0.015308733962535428,0.6371951219512195,0.6737804878048781,0.5534943834974715,0.005302282721361225,0.5488125947397814,0.560050947778527,0.05690793148389504,0.015308733962535428,0.037195121951219545,0.07378048780487811,0.05690793148389504,0.015308733962535428,0.037195121951219545,0.07378048780487811
