version,loss,size,run,time_s
sr,0,1M,1,27.416463
sr,0,1M,2,28.690762
sr,0,1M,3,27.848551
sr,0,1M,4,36.508112
sr,0,1M,5,36.140617
sr,0,1M,6,32.136172
sr,0,1M,7,35.552656
sr,0,1M,8,33.567271
sr,0,1M,9,29.179355
sr,0,1M,10,27.256674
sr,0,1M,11,29.435171
sr,0,1M,12,29.141208
sr,0,1M,13,28.733516
sr,0,1M,14,27.637846
sr,0,1M,15,27.843066
sr,0,1M,16,31.251804
sr,0,1M,17,38.725962
sr,0,1M,18,35.337573
sr,0,1M,19,37.709965
sr,0,1M,20,32.935779
sr,10,1M,1,36.767873
sr,10,1M,2,29.456704
sr,10,1M,3,28.589767
sr,10,1M,4,29.328761
sr,10,1M,5,29.377404
sr,10,1M,6,28.768349
sr,10,1M,7,30.381142
sr,10,1M,8,28.494378
sr,10,1M,9,28.283673
sr,10,1M,10,28.485048
sr,10,1M,11,27.799831
sr,10,1M,12,31.272401
sr,10,1M,13,29.844249
sr,10,1M,14,28.567026
sr,10,1M,15,30.466902
sr,10,1M,16,30.920503
sr,10,1M,17,29.399044
sr,10,1M,18,28.472470
sr,10,1M,19,28.295642
sr,10,1M,20,28.478116
sr,0,1M,1,34.616581
sr,0,1M,2,37.587423
sr,0,1M,3,44.450021
sr,0,1M,4,37.418155
sr,0,1M,5,52.824101
sr,0,1M,6,51.722697
sr,0,1M,7,43.344621
sr,0,1M,8,41.455698
sr,0,1M,9,42.805051
sr,0,1M,10,40.790895
sr,0,1M,11,43.461028
sr,0,1M,12,41.800390
sr,0,1M,13,39.902138
sr,0,1M,14,38.449479
sr,0,1M,15,35.432633
sr,0,1M,16,36.577421
