[tcp-stat] fd=4 dur_ms=28946 bytes=1048679 segs=752 rtx_rto=1 rtx_fast=83 loss=84 end=timewait
[tcp-stat] fd=2 dur_ms=29856 bytes=1048679 segs=750 rtx_rto=0 rtx_fast=83 loss=83 end=timewait
[tcp-stat] fd=3 dur_ms=27961 bytes=1048679 segs=751 rtx_rto=0 rtx_fast=83 loss=83 end=timewait
[tcp-stat] fd=2 dur_ms=28579 bytes=1048679 segs=750 rtx_rto=1 rtx_fast=83 loss=84 end=timewait
[tcp-stat] fd=3 dur_ms=28823 bytes=1048679 segs=750 rtx_rto=0 rtx_fast=83 loss=83 end=fin
[tcp-stat] fd=2 dur_ms=28561 bytes=1048679 segs=750 rtx_rto=0 rtx_fast=83 loss=83 end=timewait
[tcp-stat] fd=3 dur_ms=28042 bytes=1048679 segs=751 rtx_rto=0 rtx_fast=84 loss=84 end=timewait
[tcp-stat] fd=2 dur_ms=29340 bytes=1048679 segs=751 rtx_rto=0 rtx_fast=83 loss=83 end=fin
[tcp-stat] fd=2 dur_ms=27867 bytes=1048679 segs=750 rtx_rto=1 rtx_fast=83 loss=84 end=timewait
[tcp-stat] fd=3 dur_ms=28246 bytes=1048679 segs=750 rtx_rto=0 rtx_fast=83 loss=83 end=timewait
[tcp-stat] fd=2 dur_ms=28187 bytes=1048679 segs=751 rtx_rto=0 rtx_fast=83 loss=83 end=fin
[tcp-stat] fd=2 dur_ms=28640 bytes=1048679 segs=751 rtx_rto=0 rtx_fast=84 loss=84 end=timewait
[tcp-stat] fd=3 dur_ms=33450 bytes=1048679 segs=751 rtx_rto=0 rtx_fast=83 loss=83 end=fin
[tcp-stat] fd=2 dur_ms=27673 bytes=1048679 segs=751 rtx_rto=1 rtx_fast=83 loss=84 end=timewait
[tcp-stat] fd=3 dur_ms=28456 bytes=1048679 segs=750 rtx_rto=0 rtx_fast=83 loss=83 end=fin
[tcp-stat] fd=2 dur_ms=28991 bytes=1048679 segs=750 rtx_rto=0 rtx_fast=83 loss=83 end=fin
[tcp-stat] fd=2 dur_ms=29278 bytes=1048679 segs=750 rtx_rto=1 rtx_fast=83 loss=84 end=timewait
[tcp-stat] fd=3 dur_ms=29498 bytes=1048679 segs=750 rtx_rto=0 rtx_fast=83 loss=83 end=timewait
[tcp-stat] fd=2 dur_ms=27652 bytes=1048679 segs=750 rtx_rto=0 rtx_fast=83 loss=83 end=timewait
[tcp-stat] fd=3 dur_ms=29068 bytes=1048679 segs=750 rtx_rto=1 rtx_fast=83 loss=84 end=timewait
