run_id,case,role,tickets,expected_share,expected_per_1000,effective,ready,run_ticks,work,tick_share,work_share,tick_error,abs_tick_error
0,100_100_100,0,100,0.3333333333333333,333,100,1,232,36370,0.35419847328244275,0.32210354783286393,0.020865139949109435,0.020865139949109435
0,100_100_100,1,100,0.3333333333333333,333,100,1,225,36608,0.3435114503816794,0.3242113466886303,0.010178117048346091,0.010178117048346091
0,100_100_100,2,100,0.3333333333333333,333,100,1,198,39936,0.30229007633587784,0.3536851054785058,-0.03104325699745547,0.03104325699745547
1,100_200_300,0,100,0.16666666666666666,166,100,1,115,18278,0.17557251908396945,0.16120724630011818,0.008905852417302795,0.008905852417302795
1,100_200_300,1,200,0.3333333333333333,333,200,1,197,40064,0.300763358778626,0.3533541479247147,-0.03256997455470734,0.03256997455470734
1,100_200_300,2,300,0.5,500,300,1,343,55040,0.5236641221374045,0.4854386057751671,0.023664122137404542,0.023664122137404542
2,50_100_250,0,50,0.125,125,50,1,44,18944,0.06717557251908397,0.16565956888636263,-0.05782442748091603,0.05782442748091603
2,50_100_250,1,100,0.25,250,100,1,180,26144,0.2748091603053435,0.22862139827729439,0.024809160305343525,0.024809160305343525
2,50_100_250,2,250,0.625,625,250,1,431,69267,0.6580152671755726,0.605719032836343,0.03301526717557257,0.03301526717557257
3,80_120_300,0,80,0.16,160,80,1,91,19824,0.13871951219512196,0.17573065978778288,-0.02128048780487804,0.02128048780487804
3,80_120_300,1,120,0.24,240,120,1,126,31074,0.19207317073170732,0.2754567454724357,-0.04792682926829267,0.04792682926829267
3,80_120_300,2,300,0.6,600,300,1,439,61911,0.6692073170731707,0.5488125947397814,0.06920731707317074,0.06920731707317074
4,100_300_700,0,100,0.09090909090909091,90,100,1,59,10140,0.0900763358778626,0.08990716686025377,-0.0008327550312283161,0.0008327550312283161
4,100_300_700,1,300,0.2727272727272727,272,300,1,145,35456,0.22137404580152673,0.31437362013778675,-0.05135322692574598,0.05135322692574598
4,100_300_700,2,700,0.6363636363636364,636,700,1,451,67187,0.6885496183206107,0.5957192130019595,0.052185981956974326,0.052185981956974326
5,100_100_100,0,100,0.3333333333333333,333,100,1,210,29799,0.3201219512195122,0.343960293184048,-0.013211382113821113,0.013211382113821113
5,100_100_100,1,100,0.3333333333333333,333,100,1,218,28932,0.3323170731707317,0.33395279044266174,-0.00101626016260159,0.00101626016260159
5,100_100_100,2,100,0.3333333333333333,333,100,1,228,27904,0.3475609756097561,0.32208691637329023,0.014227642276422758,0.014227642276422758
6,100_200_300,0,100,0.16666666666666666,166,100,1,72,23552,0.1099236641221374,0.2117090797954102,-0.056743002544529256,0.056743002544529256
6,100_200_300,1,200,0.3333333333333333,333,200,1,228,35840,0.3480916030534351,0.3221659909930155,0.014758269720101802,0.014758269720101802
6,100_200_300,2,300,0.5,500,300,1,355,51855,0.5419847328244275,0.4661249292115742,0.041984732824427495,0.041984732824427495
7,50_100_250,0,50,0.125,125,50,1,67,14976,0.10229007633587786,0.1367446447159371,-0.02270992366412214,0.02270992366412214
7,50_100_250,1,100,0.25,250,100,1,165,27515,0.25190839694656486,0.2512372395405322,0.001908396946564861,0.001908396946564861
7,50_100_250,2,250,0.625,625,250,1,423,67027,0.6458015267175573,0.6120181157435307,0.020801526717557306,0.020801526717557306
8,80_120_300,0,80,0.16,160,80,1,88,20096,0.13435114503816795,0.1881595086280348,-0.025648854961832057,0.025648854961832057
8,80_120_300,1,120,0.24,240,120,1,136,27877,0.20763358778625954,0.2610132674175819,-0.03236641221374045,0.03236641221374045
8,80_120_300,2,300,0.6,600,300,1,431,58830,0.6580152671755726,0.5508272239543833,0.058015267175572593,0.058015267175572593
9,100_300_700,0,100,0.09090909090909091,90,100,1,61,9856,0.09298780487804878,0.09046600640678495,0.002078713968957868,0.002078713968957868
9,100_300_700,1,300,0.2727272727272727,272,300,1,152,33536,0.23170731707317074,0.3078193984230865,-0.041019955654101964,0.041019955654101964
9,100_300_700,2,700,0.6363636363636364,636,700,1,443,65555,0.6753048780487805,0.6017145951701286,0.03894124168514412,0.03894124168514412
10,100_100_100,0,100,0.3333333333333333,333,100,1,230,37120,0.3511450381679389,0.33191162137754054,0.01781170483460559,0.01781170483460559
10,100_100_100,1,100,0.3333333333333333,333,100,1,210,37853,0.32061068702290074,0.33846580290959166,-0.012722646310432573,0.012722646310432573
