version,loss,size,runs,median_s,mean_s,conn,bytes,rtx_rto,rtx_fast,loss_events,rtt_sample
old,0,64K,7,2.418,2.360,7,459459,0,0,0,350
old,0,256K,7,10.101,9.979,7,1835722,0,0,0,1334
old,0,1M,7,38.224,39.553,7,7340753,0,0,0,5253
old,20,64K,7,2.575,2.626,7,459459,18,0,0,165
old,20,256K,7,10.376,10.298,7,1835722,69,0,0,553
old,20,1M,7,40.002,41.877,7,7340753,277,0,0,1963
old,50,64K,7,2.148,2.269,7,459459,7,0,0,259
old,50,256K,7,8.287,8.333,7,1835722,27,0,0,956
old,50,1M,7,34.042,38.401,7,7340753,107,0,0,3808
old,100,64K,7,2.237,2.255,8,525096,4,0,0,298
old,100,256K,7,9.463,9.517,7,1835722,13,0,0,1174
old,100,1M,7,35.329,35.774,7,7340753,53,0,0,4511
old,200,64K,7,1.898,1.873,7,459459,2,0,0,329
old,200,256K,7,8.421,8.694,7,1835722,7,0,0,1222
old,200,1M,7,29.655,29.827,7,7340753,26,0,0,4838
old,500,64K,7,2.448,2.406,7,459459,1,0,0,337
old,500,256K,7,11.241,11.682,7,1835722,3,0,0,1297
old,500,1M,7,39.350,40.194,7,7340753,10,0,0,5111
cubic,0,64K,7,2.312,2.307,7,459459,0,0,0,347
cubic,0,256K,7,10.059,10.085,7,1835722,0,0,0,1333
cubic,0,1M,7,38.877,38.570,7,7340753,0,0,0,5249
cubic,20,64K,7,2.393,2.401,7,459459,1,17,18,276
cubic,20,256K,7,10.120,10.136,7,1835722,2,67,69,1056
cubic,20,1M,7,38.428,38.294,7,7340753,1,277,277,4105
cubic,50,64K,7,2.292,2.330,7,459459,0,7,7,320
cubic,50,256K,7,10.261,10.229,7,1835722,1,26,27,1220
cubic,50,1M,7,37.889,38.390,7,7340753,0,107,107,4808
cubic,100,64K,7,2.419,2.453,7,459459,0,4,4,334
cubic,100,256K,7,10.115,10.030,7,1835722,1,12,13,1276
cubic,100,1M,7,38.741,38.548,7,7340753,0,53,53,5027
cubic,200,64K,7,2.118,2.156,7,459459,1,1,2,342
cubic,200,256K,7,8.854,8.922,7,1835722,0,6,6,1301
cubic,200,1M,7,33.582,33.422,7,7340753,0,27,27,5117
cubic,500,64K,7,2.383,2.396,7,459459,0,1,1,346
cubic,500,256K,7,9.929,9.853,7,1835722,0,3,3,1320
cubic,500,1M,7,38.777,38.469,7,7340753,0,10,10,5209

old,100,64K,7,5.549,6.425,0,0,0,0,0,0
old,100,256K,7,20.441,20.229,0,0,0,0,0,0
old,100,64K,7,5.229,5.198,7,459459,4,0,0,330
old,100,256K,7,21.639,21.509,7,1835722,13,0,0,1257
old,100,64K,7,3.602,3.858,0,0,0,0,0,0
