seq=305418587 drop_t=31290 rtx_t=31505 recovery=215ms
seq=305432587 drop_t=31387 rtx_t=31712 recovery=325ms
seq=305446587 drop_t=31924 rtx_t=31924 recovery=0ms
seq=305459187 drop_t=32526 rtx_t=32526 recovery=0ms
seq=305473187 drop_t=31711 rtx_t=33131 recovery=1420ms
seq=305485787 drop_t=31799 rtx_t=33332 recovery=1533ms
seq=305524730 drop_t=34877 rtx_t=35094 recovery=217ms
seq=305538730 drop_t=34975 rtx_t=35300 recovery=325ms
seq=305552730 drop_t=35083 rtx_t=35506 recovery=423ms
seq=305565330 drop_t=35170 rtx_t=35710 recovery=540ms
seq=305579330 drop_t=35273 rtx_t=35911 recovery=638ms
seq=305591930 drop_t=35370 rtx_t=36113 recovery=743ms
seq=305605930 drop_t=35482 rtx_t=36314 recovery=832ms
seq=305618530 drop_t=35590 rtx_t=36515 recovery=925ms
seq=305587226 drop_t=38113 rtx_t=38113 recovery=0ms
seq=305601226 drop_t=38021 rtx_t=38714 recovery=693ms
seq=305627826 drop_t=38225 rtx_t=38915 recovery=690ms
seq=305641826 drop_t=38348 rtx_t=39118 recovery=770ms
seq=305654161 drop_t=38526 rtx_t=39320 recovery=794ms
seq=305666761 drop_t=38715 rtx_t=39521 recovery=806ms
seq=305680761 drop_t=38841 rtx_t=39722 recovery=881ms
seq=305646918 drop_t=40822 rtx_t=41023 recovery=201ms
seq=305659620 drop_t=40919 rtx_t=41228 recovery=309ms
seq=305673620 drop_t=41016 rtx_t=41438 recovery=422ms
seq=305686220 drop_t=41111 rtx_t=41646 recovery=535ms
seq=305700220 drop_t=41220 rtx_t=41847 recovery=627ms
seq=305712820 drop_t=42048 rtx_t=42048 recovery=0ms
seq=305726820 drop_t=41416 rtx_t=42649 recovery=1233ms
seq=305739420 drop_t=41515 rtx_t=42850 recovery=1335ms
seq=305728707 drop_t=44477 rtx_t=44477 recovery=0ms
seq=305742707 drop_t=44380 rtx_t=45078 recovery=698ms
seq=305769307 drop_t=44579 rtx_t=45280 recovery=701ms
seq=305783307 drop_t=44684 rtx_t=45480 recovery=796ms
seq=305795642 drop_t=44889 rtx_t=45683 recovery=794ms
seq=305808242 drop_t=45080 rtx_t=45884 recovery=804ms
seq=305822242 drop_t=45194 rtx_t=46085 recovery=891ms
