seq=305418012 drop_t=28126 rtx_t=29129 recovery=1003ms
seq=305425012 drop_t=28190 rtx_t=30132 recovery=1942ms
seq=305432012 drop_t=28249 rtx_t=31133 recovery=2884ms
seq=305439012 drop_t=32134 rtx_t=32134 recovery=0ms
seq=305446012 drop_t=28356 rtx_t=35135 recovery=6779ms
seq=305453012 drop_t=28419 rtx_t=36136 recovery=7717ms
seq=305460012 drop_t=28480 rtx_t=37137 recovery=8657ms
seq=305467012 drop_t=28540 rtx_t=38138 recovery=9598ms
seq=305474012 drop_t=39139 rtx_t=39139 recovery=0ms
seq=305481012 drop_t=28647 rtx_t=42140 recovery=13493ms
seq=305486347 drop_t=29158 rtx_t=43141 recovery=13983ms
seq=305491947 drop_t=30142 rtx_t=44142 recovery=14000ms
seq=305497547 drop_t=45143 rtx_t=45143 recovery=0ms
seq=305508747 drop_t=34170 rtx_t=48147 recovery=13977ms
seq=305514347 drop_t=35159 rtx_t=49148 recovery=13989ms
seq=305501915 drop_t=50385 rtx_t=51389 recovery=1004ms
seq=305508915 drop_t=50443 rtx_t=52391 recovery=1948ms
seq=305515915 drop_t=50501 rtx_t=53392 recovery=2891ms
seq=305522915 drop_t=54395 rtx_t=54395 recovery=0ms
seq=305529915 drop_t=50615 rtx_t=57396 recovery=6781ms
seq=305536915 drop_t=50674 rtx_t=58397 recovery=7723ms
seq=305543915 drop_t=50738 rtx_t=59398 recovery=8660ms
seq=305550915 drop_t=50802 rtx_t=60401 recovery=9599ms
seq=305557915 drop_t=50873 rtx_t=61401 recovery=10528ms
seq=305564915 drop_t=50928 rtx_t=62402 recovery=11474ms
seq=305570250 drop_t=63403 rtx_t=63403 recovery=0ms
seq=305575850 drop_t=52407 rtx_t=66404 recovery=13997ms
seq=305581450 drop_t=53396 rtx_t=67405 recovery=14009ms
seq=305592650 drop_t=56433 rtx_t=68406 recovery=11973ms
seq=305598250 drop_t=69407 rtx_t=69407 recovery=0ms
seq=305603850 drop_t=58407 rtx_t=72408 recovery=14001ms
seq=305615486 drop_t=73746 rtx_t=74746 recovery=1000ms
seq=305622486 drop_t=73810 rtx_t=75747 recovery=1937ms
seq=305629486 drop_t=73864 rtx_t=76748 recovery=2884ms
seq=305636486 drop_t=77749 rtx_t=77749 recovery=0ms
seq=305643486 drop_t=73979 rtx_t=80750 recovery=6771ms
seq=305650486 drop_t=74031 rtx_t=81751 recovery=7720ms
seq=305657486 drop_t=82752 rtx_t=82752 recovery=0ms
seq=305664486 drop_t=74162 rtx_t=85753 recovery=11591ms
seq=305671486 drop_t=74215 rtx_t=86754 recovery=12539ms
seq=305678486 drop_t=74278 rtx_t=87755 recovery=13477ms
seq=305683821 drop_t=88759 rtx_t=88759 recovery=0ms
seq=305689421 drop_t=75758 rtx_t=91760 recovery=16002ms
seq=305695021 drop_t=76749 rtx_t=92761 recovery=16012ms
seq=305706221 drop_t=79792 rtx_t=93764 recovery=13972ms
seq=305711821 drop_t=94765 rtx_t=94765 recovery=0ms
seq=305543106 drop_t=98026 rtx_t=99026 recovery=1000ms
seq=305550106 drop_t=98109 rtx_t=100027 recovery=1918ms
seq=305557106 drop_t=98176 rtx_t=101028 recovery=2852ms
seq=305564106 drop_t=102032 rtx_t=102032 recovery=0ms
seq=305571106 drop_t=98292 rtx_t=105033 recovery=6741ms
seq=305578106 drop_t=98347 rtx_t=106034 recovery=7687ms
seq=305585106 drop_t=98405 rtx_t=107035 recovery=8630ms
seq=305592106 drop_t=108036 rtx_t=108036 recovery=0ms
seq=305599106 drop_t=98515 rtx_t=111039 recovery=12524ms
seq=305606106 drop_t=98578 rtx_t=112041 recovery=13463ms
seq=305611441 drop_t=99053 rtx_t=113043 recovery=13990ms
seq=305617041 drop_t=114044 rtx_t=114044 recovery=0ms
seq=305622641 drop_t=101032 rtx_t=117045 recovery=16013ms
seq=305633841 drop_t=104073 rtx_t=118046 recovery=13973ms
seq=305639441 drop_t=105063 rtx_t=119047 recovery=13984ms
seq=305760102 drop_t=120492 rtx_t=121492 recovery=1000ms
seq=305765804 drop_t=120568 rtx_t=122493 recovery=1925ms
seq=305772804 drop_t=123495 rtx_t=123495 recovery=0ms
seq=305779804 drop_t=120714 rtx_t=126497 recovery=5783ms
seq=305786804 drop_t=120779 rtx_t=127498 recovery=6719ms
seq=305793804 drop_t=120838 rtx_t=128499 recovery=7661ms
seq=305800804 drop_t=120894 rtx_t=129500 recovery=8606ms
seq=305807804 drop_t=120954 rtx_t=130501 recovery=9547ms
seq=305814804 drop_t=131502 rtx_t=131502 recovery=0ms
seq=305821804 drop_t=121071 rtx_t=134502 recovery=13431ms
seq=305827037 drop_t=121506 rtx_t=135503 recovery=13997ms
seq=305831339 drop_t=122495 rtx_t=136504 recovery=14009ms
seq=305842539 drop_t=137505 rtx_t=137505 recovery=0ms
seq=305848139 drop_t=126526 rtx_t=140506 recovery=13980ms
seq=305853739 drop_t=127511 rtx_t=141507 recovery=13996ms
seq=305859339 drop_t=128500 rtx_t=142508 recovery=14008ms
