version,size,runs,median_s,mean_s,rtx_count,sample_count
old,4K,7,0.096,0.105,0,0
old,8K,7,0.172,0.177,0,0
old,16K,7,0.365,0.401,0,0
old,32K,7,0.825,0.839,0,0
old,64K,7,1.829,1.932,0,0
old,128K,7,3.642,3.825,0,0
old,256K,7,7.882,9.078,0,0
old,512K,7,14.454,14.840,0,0
old,1M,7,28.194,27.843,0,0
new,4K,7,0.101,0.313,0,41
new,8K,7,0.189,0.206,0,63
new,16K,7,0.408,0.449,0,105
new,32K,7,0.889,0.899,0,188
new,64K,7,1.887,1.857,0,349
new,128K,7,3.449,3.442,0,679
new,256K,7,7.104,7.193,0,1336
new,512K,7,11.096,11.516,0,2637
new,1M,7,22.360,23.127,0,5236
new,4K,7,0.088,0.947,0,42
new,8K,7,0.163,0.165,0,63
new,16K,7,0.308,0.479,0,105
new,32K,7,0.630,0.659,0,188
new,64K,7,1.254,1.286,0,349
new,128K,7,2.801,2.940,0,674
new,256K,7,5.496,5.450,0,1329
new,512K,7,10.668,10.850,0,2639
new,1M,7,21.742,21.413,0,5235
old,4K,7,0.100,0.961,0,0
old,8K,7,0.218,0.227,0,0
old,16K,7,0.464,0.465,0,0
old,32K,7,0.973,1.028,0,0
old,64K,7,1.959,1.862,0,0
old,128K,7,3.974,3.851,0,0
old,256K,7,7.807,7.687,0,0
old,512K,7,16.100,15.806,0,0
old,1M,7,48.784,44.549,0,0
