name,runs,median_s,mean_s,min_s,max_s,raw_times
new-0pct,5,0.008,0.009,0.008,0.012,"0.007859 0.007670 0.007617 0.008979 0.011907"
new-0pct,5,0.011,0.011,0.009,0.014,"0.011042 0.009104 0.014060 0.011084 0.008666"
new-0pct,5,0.009,0.012,0.008,0.022,"0.021869 0.008002 0.008961 0.012791 0.008813"
new-10pct,5,0.014,0.056,0.006,0.229,"0.022176 0.006377 0.013540 0.008742 0.228859"
new-10pct,100,0.030,2.610,0.007,18.105,"0.048448 1.177529 0.012961 0.015994 0.210971 0.008812 17.808280 0.014481 0.010585 0.208722 0.014623 0.009904 17.729391 0.211824 0.016860 0.006995 0.013074 0.008040 17.973191 0.019662 0.026608 0.013588 0.213366 0.014056 18.036869 0.021835 0.029188 0.478391 0.033156 0.030999 17.921896 0.229638 0.034560 0.025421 0.037972 0.014583 0.234137 17.883312 0.032936 0.042833 0.221533 0.034566 0.030904 18.058843 0.024546 0.221923 0.013824 0.030479 0.016280 0.222195 18.030872 1.514620 0.016923 0.030166 1.607467 0.022028 0.046010 0.029812 17.944719 0.023454 0.028629 0.025679 0.038403 0.218468 0.026161 17.916893 0.030406 0.224848 0.019990 0.018800 0.024467 0.029086 0.231842 0.017989 17.865637 0.022913 0.233840 0.017332 0.018279 0.026936 0.021990 0.220906 17.781487 0.030562 0.041924 0.221760 0.017776 0.038024 0.114134 0.012556 18.104754 0.023564 0.016878 0.026069 0.229515 0.020128 0.024383 0.015509 0.020686 17.925577"
new-10pct,5,0.011,3.636,0.006,17.944,"17.943595 0.005507 0.010949 0.010092 0.210316"
new-10pct,5,0.011,0.054,0.006,0.212,"0.029394 0.008921 0.006451 0.011468 0.211868"
new-20pct,5,0.009,0.052,0.007,0.212,"0.025123 0.006546 0.008933 0.007732 0.211566"
new-20pct,5,0.018,0.089,0.007,0.207,"0.018193 0.009013 0.204538 0.006553 0.206618"
new-20pct,5,0.035,0.104,0.011,0.221,"0.031951 0.034987 0.221063 0.011323 0.219454"
new-20pct,5,5.965,5.845,5.451,6.011,"6.011084 5.998669 5.965432 5.451280 5.800097"
new-10pct,5,3.019,3.090,2.727,3.597,"3.596741 3.019337 2.727428 3.016062 3.087932"
new-5pct,5,2.128,2.151,1.912,2.354,"2.302345 2.128273 2.353877 2.056202 1.912327"
new-0pct,5,2.093,2.081,1.948,2.203,"2.157488 2.092797 1.947966 2.203115 2.004838"
